window,name,mape,rmse
5,decision tree: history + pagerank,328037508.975883,499.8754050756552
5,decision tree: history + emb,374521309.9745288,380.4506907942289
5,decision tree: pagerank + emb,240293857.71731195,414.99341451358794
5,decision tree: history,391808513.35414016,385.2079728655567
5,decision tree: pagerank,234650520.49093544,373.4404684684795
5,decision tree: emb,225579128.81493405,468.6790644418193
5,decision tree: baseline,302522930.8983358,435.30920924797095
6,persistence,214617947.86424398,340.87256102895884
6,mean,432649799.1433433,285.9463351173398
6,linear regression: history + pagerank + emb,2156985751.422184,747.5980588525447
6,linear regression: history + pagerank,2151095510.968301,747.3064995143169
6,linear regression: history + emb,2171939571.8992743,759.7098147619361
6,linear regression: pagerank + emb,859387051.8223373,359.681369236325
6,linear regression: history,2171939571.8992743,759.7098147619361
6,linear regression: pagerank,856332825.9985721,360.3230758280546
6,linear regression: emb,850253654.3753643,364.7166466172725
6,linear regression: baseline,847170456.9076868,365.35017723576726
6,poisson regression emb,50269215.288182005,884.4965904119575
6,poisson regression pagerank + emb,100.0,884.8513480366919
6,decision tree: history + pagerank + emb,214377372.40671209,292.2867367361423
6,decision tree: history + pagerank,242103389.7109257,296.8139770126681
6,decision tree: history + emb,264465779.7755815,294.52997248514873
6,decision tree: pagerank + emb,227815338.32898965,274.73309324281036
6,decision tree: history,269265871.53965366,304.2568909756848
6,decision tree: pagerank,250302932.57640147,275.85654963814346
6,decision tree: emb,214298817.22357836,275.67090653902284
6,decision tree: baseline,299551876.3625835,296.6619356710172
7,persistence,327093601.7830373,1101.4659929743777
7,mean,581023854.072792,1092.0682058375567
7,linear regression: history + pagerank + emb,2128737234.501123,1160.8307831457075
7,linear regression: history + pagerank,2118736827.154569,1160.677811994745
7,linear regression: history + emb,2118765889.14535,1160.6522591060884
7,linear regression: pagerank + emb,845951897.430118,1128.9419274240518
7,linear regression: history,2118765889.14535,1160.6522591060884
7,linear regression: pagerank,836565224.2536445,1128.8796974591787
7,linear regression: emb,762020876.8150209,1132.529391487824
7,linear regression: baseline,752676755.5080652,1132.4629696910335
7,poisson regression emb,50784737.17159067,1365.090592563333
7,poisson regression pagerank + emb,100.0,1365.3251644476766
7,decision tree: history + pagerank + emb,385256050.8010922,1124.6546935415909
7,decision tree: history + pagerank,419520901.2354211,1093.5635413856612
7,decision tree: history + emb,499663800.84189785,1081.8703340315676
7,decision tree: pagerank + emb,431584381.6024828,1113.8899992992172
7,decision tree: history,449103199.125485,1077.7153383917955
7,decision tree: pagerank,503701658.26824975,1077.3474114171056
7,decision tree: emb,425945353.5807553,1104.9715360105938
7,decision tree: baseline,668278877.1292356,1078.087390081643
8,persistence,1446820947.7626696,1079.9601823130918
8,mean,1719025262.7726455,461.64856885433574
8,linear regression: history + pagerank + emb,4677006505.4935465,1263.8721119888291
8,linear regression: history + pagerank,4642876872.643882,1261.9009240093162
8,linear regression: history + emb,4630676289.375896,1256.426663467011
8,linear regression: pagerank + emb,4458198663.257067,1031.075836069678
8,linear regression: history,4630676289.375896,1256.426663467011
8,linear regression: pagerank,4431237299.621577,1030.6476258206217
8,linear regression: emb,4368556236.794804,1009.8725405476722
