src,dst,weight
1449,39434,0.020833333333333332
1859,60706,0.0037593984962406013
1859,475386,0.0037593984962406013
1859,490310,0.0037593984962406013
1859,4945385,0.0037593984962406013
1859,25032095,0.0037593984962406013
1955,15928428,0.022222222222222223
5786,10747534,0.004830917874396135
5786,14158748,0.004830917874396135
6310,59801,0.006172839506172839
6310,19817390,0.006172839506172839
13682,20012045,0.02702702702702703
14875,963887,0.0056179775280898875
18627,23814944,0.0034129692832764505
18879,216955,0.0035587188612099642
22217,146078,0.006369426751592357
22217,172209,0.006369426751592357
23922,1214559,0.006289308176100629
24281,30863753,0.043478260869565216
26976,7719913,0.0033003300330033004
26977,1859,0.0009578544061302681
26977,32031,0.0009578544061302681
26977,108151,0.0009578544061302681
26977,457740,0.0009578544061302681
26977,9949619,0.0009578544061302681
26977,32675812,0.0009578544061302681
26977,58753600,0.0009578544061302681
29353,31740,0.006666666666666667
31740,59766,0.0038461538461538464
31740,60991,0.0038461538461538464
31740,325569,0.0038461538461538464
31793,24230,0.006097560975609756
31793,148541,0.006097560975609756
31797,1148604,0.01639344262295082
31918,42730,0.006578947368421052
31918,465598,0.006578947368421052
31922,23757,0.002288329519450801
31922,39120,0.002288329519450801
31923,26976,0.017857142857142856
31924,1436369,0.00411522633744856
31927,37765,0.00425531914893617
31927,1007667,0.00425531914893617
31928,5690,0.005747126436781609
31928,296857,0.005747126436781609
32005,772472,0.005076142131979695
32015,3294938,0.005747126436781609
32031,242746,0.006289308176100629
32127,325569,0.00546448087431694
32127,1594608,0.00546448087431694
32127,7954422,0.00546448087431694
32127,23964683,0.00546448087431694
34273,284368,0.005780346820809248
34273,4237652,0.005780346820809248
37315,68181,0.25
38420,60611,0.0064516129032258064
38420,475386,0.0064516129032258064
42730,64065,0.00819672131147541
44757,100286,0.004975124378109453
48093,157427,0.0055248618784530384
52029,241119,0.007407407407407408
53273,611108,0.004048582995951417
53300,1339871,0.007407407407407408
53446,31920,0.003215434083601286
53446,31921,0.003215434083601286
53446,849257,0.003215434083601286
53446,1059144,0.003215434083601286
53446,1121207,0.003215434083601286
53446,2140407,0.003215434083601286
60611,7954422,0.0056179775280898875
60904,23538754,0.037037037037037035
60991,919083,0.007692307692307693
61114,479109,0.006666666666666667
61221,210156,0.009615384615384616
65542,25813,0.014925373134328358
72296,31928,0.01098901098901099
80135,230547,0.006756756756756757
80135,28486339,0.006756756756756757
81223,1209509,0.009900990099009901
83266,175966,0.007936507936507936
83266,211917,0.007936507936507936
89510,21201,0.006369426751592357
89510,48361,0.006369426751592357
89510,25057928,0.006369426751592357
90591,108123,0.0035460992907801418
108101,48361,0.025
108107,107338,0.018518518518518517
108120,107338,0.005847953216374269
108120,2226537,0.005847953216374269
108120,3633867,0.005847953216374269
108151,503295,0.0034965034965034965
108151,2185055,0.0034965034965034965
108161,53446,0.005291005291005291
108161,780879,0.005291005291005291
108163,489780,0.003484320557491289
108163,1108523,0.003484320557491289
108164,18975955,0.006060606060606061
146269,16855,0.004329004329004329
146269,7954422,0.004329004329004329
162468,849257,0.00684931506849315
165380,4157,0.007042253521126761
166215,277456,0.012195121951219513
166215,340391,0.012195121951219513
166215,796059,0.012195121951219513
174216,148898,0.006369426751592357
190490,285106,0.012195121951219513
196911,509851,0.0072992700729927005
198684,51746,0.125
202639,72595,0.012987012987012988
202639,919458,0.012987012987012988
210156,3302992,0.008771929824561403
210156,21974606,0.008771929824561403
216941,59766,0.009708737864077669
216941,19460601,0.009708737864077669
230311,31793,0.00625
230311,669931,0.00625
230547,376791,0.006134969325153374
235314,216892,0.008333333333333333
235314,919083,0.008333333333333333
239297,157427,0.005813953488372093
239870,14875,0.006493506493506494
239870,2558147,0.006493506493506494
239897,89510,0.007246376811594203
239897,292242,0.007246376811594203
241119,302260,0.007518796992481203
241119,479109,0.007518796992481203
241128,211917,0.006666666666666667
241128,416813,0.006666666666666667
251208,22141825,0.0058823529411764705
262933,51746,0.025
264573,29927,0.004672897196261682
264573,28486339,0.004672897196261682
268075,731199,0.011627906976744186
268075,5962340,0.011627906976744186
272980,31793,0.008064516129032258
272980,448834,0.008064516129032258
277905,30680,0.006802721088435374
284368,25813,0.013157894736842105
284368,153981,0.013157894736842105
284368,325569,0.013157894736842105
286880,3132317,0.011111111111111112
287300,5521184,0.02127659574468085
289672,453158,0.006024096385542169
292242,31922,0.006993006993006993
292242,277905,0.006993006993006993
296857,4594474,0.005917159763313609
301900,307669,0.02702702702702703
308362,307517,0.017857142857142856
308428,21197,0.14285714285714285
316977,277456,0.008547008547008548
320979,17313620,0.022222222222222223
322010,919083,0.008064516129032258
323058,18852926,0.006493506493506494
325569,31927,0.04
327950,156512,0.006172839506172839
327950,277905,0.006172839506172839
332897,19725260,0.008695652173913044
332897,55776197,0.008695652173913044
336488,2276441,0.007042253521126761
340787,302260,0.007692307692307693
340787,23536538,0.007692307692307693
343691,58687791,0.008620689655172414
357356,481865,0.009345794392523364
357356,2158984,0.009345794392523364
357356,9949619,0.009345794392523364
357356,50746458,0.009345794392523364
362133,81640,0.022727272727272728
363594,10514689,0.0125
378504,15100051,0.004807692307692308
382431,4346143,0.008333333333333333
404570,25057928,0.007575757575757576
416813,323058,0.006711409395973154
416813,19817390,0.006711409395973154
422387,21642,0.02702702702702703
422387,26977,0.02702702702702703
433127,217289,0.0031847133757961785
433127,2282992,0.0031847133757961785
435330,37642696,0.007633587786259542
448834,89668,0.02564102564102564
452927,39648909,0.008403361344537815
453158,282250,0.008547008547008548
454645,28475999,0.00847457627118644
472914,58646665,0.009523809523809525
479109,1310531,0.0070921985815602835
479109,2681197,0.0070921985815602835
490310,772472,0.03225806451612903
