src,dst,weight
1707754,450062,0.1111111111111111
2243546,244437,0.3333333333333333
12401,350167,0.125
18757567,149646,0.25
18757567,23385892,0.25
149646,31248,0.16666666666666666
1175666,12401,0.3333333333333333
350167,455770,0.14285714285714285
27075922,23385892,0.2
31248,7543,0.14285714285714285
15383952,23385892,0.25
20914512,31248,0.2
27075922,40114,0.2
12401,23385892,0.125
27075922,149646,0.2
3037035,455770,0.25
45036001,149646,0.5
40114,149646,0.5
15383952,149646,0.25
2878626,23385892,0.3333333333333333
450062,244437,0.3333333333333333
149646,253418,0.16666666666666666
31358,149646,1.0
38501,12401,0.5
23385892,31248,0.14285714285714285
52905583,23385892,0.3333333333333333
52905583,244437,0.3333333333333333
31248,149646,0.14285714285714285
455770,12401,0.3333333333333333
7543,31248,0.2
2012564,7543,0.2
149646,2012564,0.16666666666666666
253418,244437,0.2
350167,244437,0.14285714285714285
31248,12401,0.14285714285714285
350167,1175666,0.14285714285714285
7528959,23385892,0.25
149646,12401,0.16666666666666666
455770,7543,0.3333333333333333
1707754,12401,0.1111111111111111
1707754,18757567,0.1111111111111111
7528959,149646,0.25
244437,149646,0.2
253418,7528959,0.2
353748,7543,0.3333333333333333
149646,23385892,0.16666666666666666
31248,23385892,0.14285714285714285
3037035,12401,0.25
1619050,149646,1.0
39039164,149646,1.0
1175666,149646,0.3333333333333333
2012564,23385892,0.2
253418,31248,0.2
18757567,31248,0.25
40114,31161659,0.5
253418,149646,0.2
1707754,149646,0.1111111111111111
23385892,12401,0.14285714285714285
350167,38501,0.14285714285714285
23385892,2012564,0.14285714285714285
31248,45036001,0.14285714285714285
7543,149646,0.2
244437,31248,0.2
23385892,1707754,0.14285714285714285
20914512,23385892,0.2
7428958,23385892,0.5
53046782,149646,1.0
350167,31248,0.14285714285714285
7528959,7543,0.25
1707754,2012564,0.1111111111111111
576298,149646,1.0
12401,455770,0.125
27075922,253418,0.2
244437,12401,0.2
2012564,1707754,0.2
2243546,23385892,0.3333333333333333
1707754,3037035,0.1111111111111111
27075922,7543,0.2
20914512,253418,0.2
31161659,40114,0.5
12401,38501,0.125
15383952,31358,0.25
7543,23385892,0.2
12401,31248,0.125
450062,149646,0.3333333333333333
2878626,149646,0.3333333333333333
2878626,31248,0.3333333333333333
23385892,450062,0.14285714285714285
450062,23385892,0.3333333333333333
1707754,31248,0.1111111111111111
12401,450062,0.125
244437,38501,0.2
244437,23385892,0.2
7528959,253418,0.25
2243546,149646,0.3333333333333333
20914512,149646,0.2
31248,244437,0.14285714285714285
7543,353748,0.2
12401,149646,0.125
2012564,12401,0.2
12401,7543,0.125
20914512,2878626,0.2
3037035,23385892,0.25
1175666,23385892,0.3333333333333333
353748,149646,0.3333333333333333
7543,12401,0.2
149646,244437,0.16666666666666666
38501,149646,0.5
633812,149646,1.0
1707754,23385892,0.1111111111111111
18757567,12401,0.25
15383952,7543,0.25
45036001,31248,0.5
2012564,149646,0.2
1707754,244437,0.1111111111111111
7428958,149646,0.5
23385892,7543,0.14285714285714285
253418,23385892,0.2
31161659,149646,0.5
350167,12401,0.14285714285714285
353748,31248,0.3333333333333333
455770,149646,0.3333333333333333
52905583,149646,0.3333333333333333
350167,149646,0.14285714285714285
23385892,149646,0.14285714285714285
3037035,149646,0.25
31248,27075922,0.14285714285714285
