src,dst,weight
308,22954,0.02857142857142857
1724,334847,0.009345794392523364
2030,137473,0.00980392156862745
2030,16145032,0.00980392156862745
2620,2673476,0.013333333333333334
7342,2139335,0.010526315789473684
22702,15547416,0.01020408163265306
22954,15264796,0.009433962264150943
38422,15052298,0.008771929824561403
137473,23385833,0.018867924528301886
152575,38375,0.0196078431372549
162080,210191,0.01282051282051282
171171,25664190,0.038461538461538464
171276,13774949,0.011764705882352941
210191,360219,0.010869565217391304
612408,16145032,0.010752688172043012
732860,2109923,0.01098901098901099
1186277,80292,0.0125
1186277,210191,0.0125
1186277,587368,0.0125
1186277,3618581,0.0125
2041035,21679063,0.01282051282051282
2109923,13774949,0.012658227848101266
2109923,17583956,0.012658227848101266
2139335,2620,0.01282051282051282
2221011,8796,0.01694915254237288
3618581,14499543,0.011764705882352941
10141454,732860,0.013333333333333334
13881883,2332971,0.013333333333333334
15547416,171291,0.012987012987012988
15547416,23385833,0.012987012987012988
26235039,16300,0.025
48517568,195684,0.022727272727272728
1723,1112941,0.01098901098901099
1723,2420319,0.01098901098901099
2030,9721881,0.00980392156862745
3080,1339871,0.047619047619047616
16300,13774949,0.011363636363636364
16403,755478,0.010101010101010102
18247,18651242,0.03125
19963,193965,0.018867924528301886
22702,199503,0.01020408163265306
22954,14358285,0.009433962264150943
48388,199503,0.011904761904761904
48388,2041035,0.011904761904761904
80292,732860,0.011764705882352941
162080,2332971,0.01282051282051282
162080,10141454,0.01282051282051282
171171,2221011,0.038461538461538464
235887,38422,0.012048192771084338
235887,2332971,0.012048192771084338
755478,794399,0.011494252873563218
755478,9391945,0.011494252873563218
794399,7342,0.010752688172043012
1082384,22954,0.01098901098901099
1186277,15264796,0.0125
2109923,2071486,0.012658227848101266
2139335,2221011,0.01282051282051282
2332971,13881924,0.011904761904761904
3618581,2332971,0.011764705882352941
3985816,12963,0.023255813953488372
5557955,23276,0.07692307692307693
8875759,14358285,0.011904761904761904
9721881,80442,0.013333333333333334
10380076,15367294,0.01282051282051282
10986324,5312,0.02631578947368421
14499543,1841767,0.012658227848101266
15264796,3080,0.012658227848101266
15547416,14681118,0.012987012987012988
17583956,22954,0.01282051282051282
18098701,11887,0.013333333333333334
24368636,13881924,0.013157894736842105
1723,421119,0.01098901098901099
2030,25175562,0.00980392156862745
7342,360219,0.010526315789473684
24797,2420319,0.010309278350515464
24797,26235039,0.010309278350515464
34743,1724,0.07142857142857142
38422,1339871,0.008771929824561403
38422,26235039,0.008771929824561403
48388,22954,0.011904761904761904
80292,1112941,0.011764705882352941
80292,18651242,0.011764705882352941
152575,48517568,0.0196078431372549
159142,16403,0.011494252873563218
171867,15547416,0.012048192771084338
235887,587368,0.012048192771084338
360219,235887,0.012048192771084338
360219,15264796,0.012048192771084338
385808,195684,0.024390243902439025
472876,10172,0.022222222222222223
612408,18651242,0.010752688172043012
1398266,1491462,0.011764705882352941
2139335,1723,0.01282051282051282
9391945,13881883,0.0125
10303328,38375,0.020833333333333332
10380076,2030,0.01282051282051282
13800309,2332971,0.010752688172043012
13881883,235887,0.013333333333333334
13881924,11887,0.012658227848101266
14358285,2221011,0.023809523809523808
14370892,2473310,0.0125
14499543,2332971,0.012658227848101266
14681118,24517,0.013333333333333334
15052298,308,0.012048192771084338
15367294,1841767,0.012048192771084338
18823174,1724,0.09090909090909091
23111293,162080,0.012658227848101266
1724,2473310,0.009345794392523364
2030,31204,0.00980392156862745
5211,4092,0.04
5312,732860,0.021739130434782608
7342,360221,0.010526315789473684
16300,421119,0.011363636363636364
23758,16145032,0.009259259259259259
24797,308,0.010309278350515464
31204,7342,0.038461538461538464
48388,3618581,0.011904761904761904
80292,18098701,0.011764705882352941
171850,1491462,0.011363636363636364
195684,48517568,0.016666666666666666
2041035,22954,0.01282051282051282
2139335,35566739,0.01282051282051282
2473310,3985816,0.011363636363636364
2473310,21679063,0.011363636363636364
3985816,1841767,0.023255813953488372
4690275,2030,0.012658227848101266
5505410,20012045,0.058823529411764705
9734298,2673476,0.012658227848101266
10303328,48517568,0.020833333333333332
14499543,15367294,0.012658227848101266
15547416,17583956,0.012987012987012988
18651242,732860,0.013157894736842105
18651242,1112941,0.013157894736842105
20012045,33551951,0.16666666666666666
26235039,235887,0.025
2620,24517,0.013333333333333334
2620,171291,0.013333333333333334
12963,14358285,0.0196078431372549
16403,7342,0.010101010101010102
22702,10031966,0.01020408163265306
24797,21679063,0.010309278350515464
24797,48517568,0.010309278350515464
31204,20012045,0.038461538461538464
38422,24517,0.008771929824561403
162080,16300,0.01282051282051282
195684,24797,0.016666666666666666
210191,171291,0.010869565217391304
360221,360219,0.011904761904761904
385808,1112941,0.024390243902439025
587368,9391945,0.012987012987012988
794399,10380076,0.010752688172043012
1079171,16145032,0.011764705882352941
1112941,2473310,0.012048192771084338
1398266,9391945,0.011764705882352941
2332971,2139335,0.011904761904761904
10031966,80292,0.012048192771084338
13800309,1167,0.010752688172043012
13800309,48388,0.010752688172043012
