id,title,is_redirect,is_new,pagerank
1724,Ammonius_Saccas,False,False,1.6534239806813151
23385833,Neoplatonism,False,False,1.5799033887279004
25175562,Virtual_International_Authority_File,False,False,1.4826061989408412
35566739,Integrated_Authority_File,False,False,1.3543594807359856
2030,Augustine_of_Hippo,False,False,1.285641956319104
11887,Greek_language,False,False,1.2688262312660787
1491462,Library_of_Congress_Control_Number,False,False,1.255680043372073
22954,Plato,False,False,1.2381057994395397
38422,Plotinus,False,False,1.2223928205096106
22702,Origen,False,False,1.22061736559713
1339871,WorldCat,False,False,1.2162173317778706
199503,Bibliothèque_nationale_de_France,False,False,1.2025943427066053
2221011,Platonism,False,False,1.1967844069697726
794399,Porphyry_(philosopher),False,False,1.1780899664014257
308,Aristotle,False,False,1.1623982742667494
5211,Christianity,False,False,1.1609744164981695
7342,Clement_of_Alexandria,False,False,1.1592789740767493
38375,Hypatia,False,False,1.1344703141357173
24797,Proclus,False,False,1.1282135791510832
33551951,Système_universitaire_de_documentation,False,False,1.1179989306534692
18852926,International_Standard_Name_Identifier,False,False,1.1004951218564205
2420319,Platonic_Academy,False,False,1.0894900330458752
159142,Damascius,False,False,1.0861517038763537
732860,Iamblichus,False,False,1.0850450886799814
23758,Pseudo-Dionysius_the_Areopagite,False,False,1.0843680558529774
3080,Alexandria,False,False,1.082157655919766
171171,Ancient_Greek_philosophy,False,False,1.07891223448979
1841767,Middle_Platonism,False,False,1.0773670280488512
24517,Plutarch,False,False,1.074349703204038
1082384,John_Scotus_Eriugena,False,False,1.0681513571023857
80442,Simplicius_of_Cilicia,False,False,1.0672127998600358
210191,Philo,False,False,1.0639525915875823
10380076,Disciples_of_Plotinus,False,False,1.0609067792195213
20012045,National_Library_of_the_Czech_Republic,False,False,1.0602206607295197
16403,Justin_Martyr,False,False,1.0597777550915908
1723,Ammonius_Hermiae,False,False,1.0577529632768556
1398266,Syrianus,False,False,1.0495978473333256
14499543,Plutarch_of_Athens,False,False,1.049010875517406
235887,Macrobius,False,False,1.0480030986459312
16300,Julian_(emperor),False,False,1.0476943680400428
13704154,Western_philosophy,False,False,1.043042857156589
1112941,Sallustius,False,False,1.0409527870220119
612408,Speusippus,False,False,1.037082404467957
2332971,Antiochus_of_Ascalon,False,False,1.027856123149533
195684,Boethius,False,False,1.0235091087734673
171276,Arcesilaus,False,False,1.0232455185143934
1079171,Carneades,False,False,1.0232455185143934
2673476,John_Philoponus,False,False,1.0231680215756982
360219,Marinus_of_Neapolis,False,False,1.0177907152373968
2139335,Alcinous_(philosopher),False,False,1.0173571606627474
171850,Xenocrates,False,False,1.014026368464
13659534,Albinus_(philosopher),False,False,1.011906358027575
2473310,Numenius_of_Apamea,False,False,1.0116282217629158
48388,Eudoxus_of_Cnidus,False,False,1.0115186093780901
18098701,Hegias,False,False,1.008266904708996
360221,Isidore_of_Alexandria,False,False,1.0049172872800272
1186277,Philo_of_Larissa,False,False,1.004507308613095
8875759,Atticus_(philosopher),False,False,1.004230655767578
2041035,Clitomachus_(philosopher),False,False,1.0040529586201106
755478,Cassius_Longinus_(philosopher),False,False,1.0017954200264132
