src,dst,weight
305,77334,0.001652892561983471
305,586080,0.001652892561983471
305,10327584,0.001652892561983471
594,6697,0.003194888178913738
594,79145,0.003194888178913738
1174,80584,0.003745318352059925
1174,19191789,0.003745318352059925
1182,77363,0.0036496350364963502
1540,594,0.0053475935828877
1567,84203,0.006134969325153374
1568,80598,0.00398406374501992
1695,86020,0.0037174721189591076
2020,1540,0.012048192771084338
2020,2041,0.012048192771084338
2020,34398,0.012048192771084338
2618,318068,0.00847457627118644
2905,17248404,0.003787878787878788
4615,80584,0.019230769230769232
5768,1491462,0.027777777777777776
5956,37353,0.0078125
5956,83191,0.0078125
6046,14919,0.023809523809523808
6526,305,0.005714285714285714
6526,9598008,0.005714285714285714
6526,21476593,0.005714285714285714
6697,59955,0.003952569169960474
7401,1174,0.004347826086956522
7401,14919,0.004347826086956522
7401,77334,0.004347826086956522
8230,232942,0.00423728813559322
10477,14410,0.004166666666666667
13207,83606,0.005952380952380952
13207,23416994,0.005952380952380952
13208,436173,0.0037593984962406013
13208,1981177,0.0037593984962406013
13225,6526,0.004201680672268907
13225,23250,0.004201680672268907
13225,52121,0.004201680672268907
13633,82001,0.0025906735751295338
13633,1076007,0.0025906735751295338
13693,25175562,0.030303030303030304
13815,85577,0.004672897196261682
14372,78597,0.00425531914893617
14388,734995,0.0041841004184100415
14410,6388720,0.0038910505836575876
15885,81982,0.007462686567164179
16391,14388,0.012195121951219513
16391,37322,0.012195121951219513
17983,729695,0.0045871559633027525
17983,30038865,0.0045871559633027525
22058,2627,0.004166666666666667
22099,44920,0.047619047619047616
22349,1806193,0.004464285714285714
22537,84683,0.003105590062111801
22537,1840244,0.003105590062111801
23986,17546,0.027777777777777776
24132,81737,0.006329113924050633
24253,6526,0.00390625
24253,9808,0.00390625
24253,9537367,0.00390625
28745,6147199,0.004405286343612335
30058,16391,0.0038910505836575876
30058,23250,0.0038910505836575876
30059,423806,0.008928571428571428
30059,37312676,0.008928571428571428
31255,37322,0.008333333333333333
31255,52000,0.008333333333333333
32359,1540,0.013157894736842105
32745,422994,0.05263157894736842
36487,45333,0.011363636363636364
36487,48104,0.011363636363636364
36745,14919,0.004484304932735426
36745,151992,0.004484304932735426
42012,22954,0.007575757575757576
42012,58231,0.007575757575757576
42058,19098431,0.004901960784313725
44373,6413491,0.004608294930875576
46299,84174,0.0043859649122807015
47401,594,0.004405286343612335
47401,79561,0.004405286343612335
47401,823229,0.004405286343612335
49071,78470,0.008264462809917356
53258,2471070,0.004524886877828055
54553,77218,0.004329004329004329
